feature,mean_abs_shap
feature_7,4.811453255510423e-07
feature_208,3.8987943342766487e-07
feature_74,0.0
feature_206,0.0
feature_395,0.0
feature_394,0.0
feature_403,0.0
feature_402,0.0
feature_401,0.0
feature_400,0.0
feature_396,0.0
feature_397,0.0
feature_263,0.0
feature_264,0.0
feature_265,0.0
feature_266,0.0
feature_375,0.0
feature_373,0.0
feature_404,0.0
feature_369,0.0
feature_178,0.0
feature_179,0.0
feature_189,0.0
feature_52,0.0
feature_381,0.0
feature_380,0.0
feature_379,0.0
feature_378,0.0
feature_364,0.0
feature_186,0.0
feature_529,0.0
feature_330,0.0
feature_528,0.0
feature_230,0.0
feature_229,0.0
feature_5,0.0
feature_235,0.0
feature_234,0.0
feature_232,0.0
feature_233,0.0
feature_231,0.0
feature_226,0.0
feature_399,0.0
feature_398,0.0
feature_374,0.0
feature_370,0.0
feature_371,0.0
feature_372,0.0
feature_141,0.0
feature_276,0.0
feature_342,0.0
feature_262,0.0
feature_49,0.0
feature_149,0.0
feature_42,0.0
feature_414,0.0
feature_422,0.0
feature_259,0.0
feature_347,0.0
feature_209,0.0
feature_466,0.0
feature_449,0.0
feature_450,0.0
feature_451,0.0
feature_461,0.0
feature_458,0.0
feature_463,0.0
feature_462,0.0
feature_97,0.0
feature_236,0.0
feature_464,0.0
feature_465,0.0
feature_328,0.0
feature_315,0.0
feature_314,0.0
feature_313,0.0
feature_329,0.0
feature_326,0.0
feature_325,0.0
feature_322,0.0
feature_327,0.0
feature_260,0.0
feature_261,0.0
feature_242,0.0
feature_498,0.0
feature_501,0.0
feature_502,0.0
feature_503,0.0
feature_237,0.0
feature_240,0.0
feature_241,0.0
feature_256,0.0
feature_513,0.0
feature_514,0.0
feature_515,0.0
feature_478,0.0
feature_481,0.0
feature_257,0.0
feature_258,0.0
feature_243,0.0
feature_193,0.0
feature_194,0.0
feature_191,0.0
feature_512,0.0
feature_507,0.0
feature_69,0.0
feature_508,0.0
feature_509,0.0
feature_505,0.0
feature_506,0.0
feature_284,0.0
feature_190,0.0
feature_192,0.0
feature_538,0.0
feature_13,0.0
feature_504,0.0
feature_535,0.0
feature_536,0.0
feature_537,0.0
feature_534,0.0
feature_531,0.0
feature_532,0.0
feature_533,0.0
feature_530,0.0
